movie_introduce,movie_eval,movie_name,movie_num,movie_star
地球上的星星,105842人评价,地球上的星星,196,8.9
牯岭街少年杀人事件,132375人评价,牯岭街少年杀人事件,197,8.8
黑客帝国3：矩阵革命,195755人评价,黑客帝国3：矩阵革命,198,8.6
一次别离,155679人评价,一次别离,199,8.7
海街日记,180201人评价,海街日记,200,8.7
追随,98235人评价,追随,201,8.9
三块广告牌,405506人评价,三块广告牌,202,8.7
惊魂记,105689人评价,惊魂记,203,8.9
青蛇,272903人评价,青蛇,204,8.5
撞车,203031人评价,撞车,205,8.6
小萝莉的猴神大叔,226505人评价,小萝莉的猴神大叔,206,8.5
再次出发之纽约遇见你,217178人评价,再次出发之纽约遇见你,207,8.5
梦之安魂曲,132648人评价,梦之安魂曲,208,8.7
步履不停,116226人评价,步履不停,209,8.8
源代码,476775人评价,源代码,210,8.4
新龙门客栈,228578人评价,新龙门客栈,211,8.5
终结者2：审判日,173664人评价,终结者2：审判日,212,8.6
初恋这件小事,561845人评价,初恋这件小事,213,8.3
东京物语,64125人评价,东京物语,214,9.2
疯狂的石头,394355人评价,疯狂的石头,215,8.3
爱在午夜降临前,145662人评价,爱在午夜降临前,216,8.8
城市之光,57050人评价,城市之光,217,9.3
无耻混蛋,264743人评价,无耻混蛋,218,8.5
绿里奇迹,129447人评价,绿里奇迹,219,8.7
末路狂花,124887人评价,末路狂花,220,8.7
这个男人来自地球,220907人评价,这个男人来自地球,221,8.5
E.T.外星人,188963人评价,E.T. 外星人,222,8.5
彗星来的那一夜,236728人评价,彗星来的那一夜,223,8.4
勇闯夺命岛,166527人评价,勇闯夺命岛,224,8.6
秒速5厘米,368394人评价,秒速5厘米,225,8.3
变脸,250177人评价,变脸,226,8.4
血钻,167744人评价,血钻,227,8.6
聚焦,155640人评价,聚焦,228,8.8
黄金三镖客,63763人评价,黄金三镖客,229,9.1
发条橙,216319人评价,发条橙,230,8.5
天书奇谭,65874人评价,天书奇谭,231,9.1
卡萨布兰卡,146487人评价,卡萨布兰卡,232,8.6
非常嫌疑犯,144926人评价,非常嫌疑犯,233,8.6
碧海蓝天,117713人评价,碧海蓝天,234,8.7
国王的演讲,399551人评价,国王的演讲,235,8.3
美国丽人,217778人评价,美国丽人,236,8.5
海蒂和爷爷,72602人评价,海蒂和爷爷,237,9.1
黑鹰坠落,147101人评价,黑鹰坠落,238,8.6
我爱你,73856人评价,我爱你,239,9.0
千钧一发,112451人评价,千钧一发,240,8.7
2001太空漫游,121731人评价,2001太空漫游,241,8.7
海盗电台,184977人评价,海盗电台,242,8.6
遗愿清单,162512人评价,遗愿清单,243,8.5
荒野生存,149626人评价,荒野生存,244,8.6
英国病人,197757人评价,英国病人,245,8.5
荒岛余生,164563人评价,荒岛余生,246,8.5
勇士,100491人评价,勇士,247,8.9
枪火,119660人评价,枪火,248,8.7
迁徙的鸟,58105人评价,迁徙的鸟,249,9.1
攻壳机动队,72963人评价,攻壳机动队,250,8.9
